x,y_do_x_1,y_do_x_2,y_do_x_3
3.3893745,0.8563812,0.13222629,0.7283613
3.4072514,0.85860354,0.13363759,0.7313785
3.425128,0.8608154,0.1350434,0.73439217
3.4430048,0.8630172,0.1364438,0.73740226
3.4608815,0.86520857,0.13783863,0.7404086
3.4787583,0.86738986,0.13922803,0.7434116
3.496635,0.86956084,0.14061183,0.74641085
3.5145118,0.87172186,0.14199013,0.7494068
3.5323884,0.87387264,0.1433628,0.75239915
3.5502653,0.87601346,0.14472991,0.7553881
3.5681422,0.87814444,0.14609146,0.75837356
3.5860188,0.8802654,0.14744739,0.76135564
3.6038957,0.8823764,0.14879766,0.7643342
3.6217723,0.88447756,0.15014233,0.7673095
3.6396492,0.88656896,0.15148135,0.77028126
3.6575258,0.8886506,0.15281472,0.7732497
3.6754026,0.89072245,0.15414245,0.7762147
3.6932793,0.89278466,0.15546456,0.7791765
3.7111561,0.8948372,0.15678099,0.7821348
3.729033,0.89688027,0.15809181,0.78508973
3.7469096,0.8989137,0.15939695,0.78804135
3.7647865,0.9009377,0.16069642,0.7909897
3.782663,0.9029521,0.16199026,0.79393464
3.80054,0.9049571,0.16327854,0.79687625
3.8184166,0.90695274,0.16456108,0.7998145
3.8362935,0.90893906,0.16583806,0.8027495
3.85417,0.91091603,0.16710936,0.8056811
3.872047,0.9128836,0.1683751,0.80860937
3.8899236,0.91484207,0.16963525,0.8115343
3.9078004,0.9167914,0.17088985,0.8144559
3.9256773,0.91873145,0.17213884,0.81737417
3.943554,0.9206624,0.17338228,0.8202891
3.9614308,0.9225842,0.17462014,0.8232006
3.9793074,0.92449707,0.1758525,0.8261088
3.9971843,0.92640096,0.17707938,0.8290136
4.015061,0.92829573,0.17830074,0.83191484
4.0329375,0.9301816,0.1795166,0.8348129
4.0508146,0.9320588,0.1807271,0.83770764
4.0686913,0.93392676,0.18193203,0.8405988
4.086568,0.93578595,0.18313162,0.8434866
4.104445,0.9376365,0.18432584,0.8463711
4.1223216,0.93947834,0.18551466,0.84925205
4.140198,0.94131124,0.18669814,0.8521296
4.158075,0.9431354,0.18787624,0.85500354
4.175952,0.94495106,0.18904907,0.8578742
4.1938286,0.94675803,0.19021662,0.8607414
4.211705,0.9485564,0.1913789,0.8636051
4.2295823,0.9503462,0.19253598,0.86646515
4.247459,0.95212775,0.19368792,0.869322
4.2653356,0.9539004,0.19483459,0.872175
4.283212,0.95566463,0.19597608,0.8750245
4.3010893,0.9574206,0.19711255,0.8778706
4.318966,0.95916814,0.19824384,0.88071316
4.3368425,0.9609074,0.19937016,0.8835521
4.354719,0.9626381,0.20049135,0.8863873
